mag,tipo_mag,lat,lon,depth,year,month,day,hour,minute,second
6.4,Mw,0.05,-78.33,10.0,1587,8,31,1,30,0.0
7.0,Mw,-1.73,-78.8,10.0,1645,3,15,0,0,0.0
6.4,Mw,-1.67,-79.05,10.0,1674,8,29,0,0,0.0
6.2,Mw,-1.25,-78.42,10.0,1687,11,22,0,0,0.0
7.25,Mw,-1.65,-78.8,10.0,1698,6,20,6,0,0.0
5.9,Mw,-0.75,-78.75,10.0,1736,12,6,8,0,0.0
6.1,Mw,-0.92,-78.56,10.0,1757,2,22,0,0,0.0
5.8,Mw,-1.68,-78.78,10.0,1786,5,10,15,0,0.0
7.6,Mw,-1.5,-78.6,10.0,1797,2,4,12,45,0.0
7.4,Mw,1.12,-77.0,10.0,1834,1,20,1,45,0.0
7.2,Mw,0.02,-78.75,10.0,1859,3,22,13,30,0.0
6.1,Mw,-1.25,-78.42,10.0,1868,5,17,18,0,0.0
6.6,Mw,0.7,-77.92,10.0,1868,8,15,19,30,0.0
7.25,Mw,0.25,-78.3,10.0,1868,8,16,6,40,0.0
6.2,Mw,-1.73,-78.8,10.0,1911,9,23,4,10,0.0
6.44,Mw,-0.6,-78.42,10.0,1914,5,31,13,27,0.0
6.1,Mw,-0.55,-78.63,10.0,1923,2,5,12,22,0.0
6.1,Mw,0.88,-77.8,10.0,1923,12,14,10,31,0.0
6.0,Mw,0.87,-77.78,10.0,1926,12,18,18,5,0.0
5.88,Mw,-0.5,-78.48,10.0,1929,7,25,8,39,0.0
5.8,Mw,-0.4,-78.41,10.0,1938,8,10,2,2,0.0
5.7,Mw,-0.71,-78.7,10.0,1944,9,15,19,20,0.0
6.0,Mw,1.05,-77.36,10.0,1953,12,23,4,45,0.0
6.14,Mw,0.28,-78.39,10.0,1955,7,20,21,0,0.0
5.0,Mw,-0.98,-78.59,10.0,1958,1,24,13,50,0.0
5.65,Mw,-1.2,-78.7,10.0,1960,7,30,2,4,0.0
6.3,Mw,-2.089,-78.968,10.0,1961,4,8,9,3,0.0
5.9,Mw,-1.16,-78.65,10.0,1962,11,16,6,39,0.0
5.0,Mw,-0.52,-78.61,10.0,1976,11,29,23,20,0.0
7.2,Mw,-2.0,-82.0,0.0,1901,1,7,0,29,0.0
8.8,Mw,0.95,-79.36,20.0,1906,1,31,15,36,0.0
7.5,Mw,-2.0,-79.0,150.0,1906,9,28,15,24,54.0
7.0,Mw,0.0,-82.0,0.0,1907,6,1,8,45,0.0
7.0,Mw,-5.0,-80.0,0.0,1912,7,24,11,59,0.0
7.1,Mw,4.0,-74.0,0.0,1917,8,31,11,36,24.0
6.0,Mw,3.0,-77.5,35.0,1920,1,30,18,26,45.0
6.8,Mw,-3.5,-81.68,35.0,1924,3,11,22,44,27.0
6.5,Mw,-1.0,-79.0,287.0,1924,7,22,4,4,16.0
6.8,Mw,2.81,-80.16,15.0,1924,10,18,23,5,30.0
6.8,Mw,3.0,-80.5,318.0,1925,6,7,23,41,40.0
6.8,Mw,-0.11,-77.03,25.0,1925,6,23,16,46,39.0
6.5,Mw,-2.8,-74.5,0.0,1926,3,7,20,33,28.0
6.0,Mw,-6.5,-81.5,0.0,1927,3,13,5,32,16.0
7.2,Mw,-5.26,-78.55,35.0,1928,5,14,22,14,51.0
6.9,Mw,-5.35,-78.73,35.0,1928,7,18,19,4,8.0
6.2,Mw,-2.0,-74.5,0.0,1930,11,24,6,6,48.0
6.0,Mw,-6.0,-81.0,50.0,1932,9,5,6,23,50.0
5.6,Mw,0.5,-78.5,60.0,1933,5,18,4,28,35.0
6.2,Mw,-6.4,-75.2,0.0,1933,10,1,2,40,39.0
6.7,Mw,-1.83,-80.84,15.0,1933,10,2,15,29,29.0
6.2,Mw,-1.75,-80.75,35.0,1933,10,3,10,21,20.0
6.0,Mw,-1.75,-80.75,35.0,1933,10,3,14,21,49.0
6.0,Mw,4.0,-78.0,35.0,1934,4,3,7,36,27.0
6.0,Mw,3.4,-77.8,0.0,1934,8,6,12,7,13.0
6.2,Mw,-5.0,-78.0,110.0,1934,10,29,23,25,23.0
6.0,Mw,-4.2,-79.8,0.0,1935,3,8,11,59,10.0
5.6,Mw,3.5,-83.0,35.0,1935,6,11,21,55,55.0
5.5,Mw,3.4,-77.8,0.0,1935,10,27,22,5,2.0
6.0,Mw,-2.0,-79.0,130.0,1935,11,2,21,5,40.0
6.2,Mw,2.61,-79.46,25.0,1935,12,24,12,24,11.0
6.5,Mw,2.2,-78.5,65.0,1937,5,21,13,12,23.0
6.0,Mw,3.0,-84.0,35.0,1937,7,8,12,51,5.0
7.1,Mw,-1.97,-76.39,184.2,1937,7,19,19,35,27.0
6.0,Mw,-6.2,-75.3,0.0,1938,1,16,21,41,40.0
5.6,Mw,-6.5,-81.0,35.0,1940,5,4,16,44,30.0
6.0,Mw,-7.0,-80.0,35.0,1940,5,5,2,3,42.0
6.0,Mw,-2.0,-76.0,140.0,1940,10,23,2,23,15.0
6.5,Mw,-3.25,-76.75,120.0,1941,1,24,5,44,3.0
6.0,Mw,-6.5,-79.0,0.0,1942,1,8,15,12,22.0
7.8,Mw,0.01,-80.39,19.7,1942,5,14,2,13,28.0
6.8,Mw,-6.52,-76.76,123.6,1942,11,6,13,31,11.0
6.1,Mw,-1.98,-80.02,58.7,1943,1,30,5,32,3.0
6.5,Mw,-6.5,-76.0,140.0,1943,4,5,3,8,58.0
6.2,Mw,-2.5,-77.0,130.0,1943,12,22,7,1,50.0
6.0,Mw,3.1,-74.8,0.0,1944,5,9,14,29,49.0
6.73,Mw,0.6,-79.32,20.0,1944,10,23,23,40,1.0
6.5,Mw,1.9,-76.9,96.0,1945,7,9,16,42,8.0
6.8,Mw,-1.23,-78.4,10.0,1949,8,5,19,8,47.0
6.8,Mw,-4.0,-76.5,110.0,1950,6,7,16,52,34.0
6.0,Mw,-5.2,-77.2,0.0,1953,4,17,0,2,50.0
7.5,Mw,-3.59,-80.84,19.0,1953,12,12,17,31,28.0
6.7,Mw,-5.4,-76.7,128.0,1954,6,15,13,30,3.0
6.8,Mw,-0.2,-77.8,0.0,1955,5,11,11,4,1.0
6.9,Mw,-0.82,-80.28,35.0,1956,1,16,23,37,45.0
6.5,Mw,-3.3,-79.0,96.0,1956,3,22,6,34,0.0
